time_s,frame,object_name,object_index,active,kind,x_m,y_m,z_m,qx,qy,qz,qw,vx_m_s,vy_m_s,vz_m_s,wx_rad_s,wy_rad_s,wz_rad_s,mesh_z_min_m,mesh_z_max_m,mesh_z_span_m,mesh_xy_radius_m
1.5666666666666667,94,object_b,1,1,rigid_box,0.3345186971996892,1.2319946102225256e-07,0.39999079594181774,4.807090087336326e-08,-3.06685803497873e-08,-1.482016575062252e-08,0.9999999999999982,0.16983114264256463,1.1346682955400537e-07,-5.3161652163735695e-11,3.4989220823683484e-10,6.136926747090842e-08,-2.7778858122715802e-08,,,,
1.5833333333333333,95,object_a,0,1,rigid_box,-0.5386889746730312,-2.006153596928599e-07,0.3999907969918246,2.8534062176442822e-08,-1.2845059878642484e-07,1.057203901398563e-08,0.9999999999999912,-0.4081310898682897,-1.8207621009407462e-07,1.0596231843351678e-09,-1.5972808801979436e-13,-6.319030190495573e-08,1.1817183920742682e-08,,,,
1.5833333333333333,95,object_b,1,1,rigid_box,0.33734746514067876,1.2508940628566886e-07,0.39999079594093473,4.8073824181665473e-08,-3.015717669387998e-08,-1.505178692601107e-08,0.9999999999999982,0.16963339859540205,1.1333486924729972e-07,-5.2816031062552504e-11,3.515979391967698e-10,6.136771323610752e-08,-2.7808346657765878e-08,,,,
1.6,96,object_a,0,1,rigid_box,-0.5454871898029151,-2.0364819174776683e-07,0.399990797009494,2.8534060851655466e-08,-1.2897744304035246e-07,1.067056111539859e-08,0.9999999999999912,-0.40768283192967253,-1.8187617864237522e-07,1.0606068800989021e-09,-1.5991003995298638e-13,-6.32486798878913e-08,1.1827475236269815e-08,,,,
1.6,96,object_b,1,1,rigid_box,0.3401729389104442,1.2697715325938956e-07,0.39999079594005804,4.8076761684149426e-08,-2.9645785897168735e-08,-1.5283653084454725e-08,0.9999999999999982,0.16943583103068907,1.1320302736535227e-07,-5.244251387315213e-11,3.5329910412082e-10,6.136617993321712e-08,-2.783766485071832e-08,,,,
1.6166666666666667,97,object_a,0,1,rigid_box,-0.5522779387691813,-2.0667769208692373e-07,0.39999079702717993,2.8534059525356765e-08,-1.2950477401229386e-07,1.0769169021026337e-08,0.9999999999999911,-0.407235116193182,-1.8167638902120605e-07,1.0616360516385592e-09,-1.6009219732559647e-13,-6.330711092075393e-08,1.1837776252226847e-08,,,,
1.6166666666666667,97,object_b,1,1,rigid_box,0.34299512144850397,1.2886270269305603e-07,0.3999907959390889,4.8170620650314654e-08,-2.9566988443448663e-08,-1.5515783658361168e-08,0.9999999999999982,0.16923843973892133,1.1307109323970605e-07,-6.321969336919864e-11,1.860343633571376e-08,-2.5496135422463925e-08,-2.787461601944922e-08,,,,
1.6333333333333333,98,object_a,0,1,rigid_box,-0.5590612306003588,-2.097038647371913e-07,0.3999907970448822,2.8534058197545035e-08,-1.300325921446492e-07,1.0867862810729316e-08,0.999999999999991,-0.4067879417360101,-1.814768408186779e-07,1.062616869496047e-09,-1.602745634004521e-13,-6.336559507657376e-08,1.1848086838863955e-08,,,,
1.6333333333333333,98,object_b,1,1,rigid_box,0.34581401569088804,1.307460523385576e-07,0.39999079593803344,4.832777776725147e-08,-2.9789880977518782e-08,-1.5748265746931323e-08,0.9999999999999982,0.16904122451090745,1.129391308489691e-07,-6.328439335068214e-11,1.89236335047024e-08,-2.708611748431669e-08,-2.791839216508167e-08,,,,
1.65,99,object_a,0,1,rigid_box,-0.5658370743096143,-2.1272671371857343e-07,0.39999079706260093,2.8534056868218532e-08,-1.3056089788015355e-07,1.0966642564677884e-08,0.999999999999991,-0.40634130763743315,-1.8127753362383142e-07,1.0635885002580059e-09,-1.6045714412432671e-13,-6.342413236993175e-08,1.1858407047404465e-08,,,,
1.65,99,object_b,1,1,rigid_box,0.34862962457014257,1.3262720363736824e-07,0.39999079593697945,4.848575824670855e-08,-3.001723510665539e-08,-1.598111332564893e-08,0.9999999999999982,0.16884418513779453,1.1280728480239826e-07,-6.320189857578207e-11,1.8987575545465482e-08,-2.7455166753216296e-08,-2.7962299412657652e-08,,,,
1.6666666666666667,100,object_a,0,1,rigid_box,-0.5726054788947873,-2.1574624304423308e-07,0.39999079708033614,2.853405553737557e-08,-1.3108969166189696e-07,1.1065508363299576e-08,0.9999999999999909,-0.4058952129788052,-1.810784670266354e-07,1.0646127399788208e-09,-1.6063992404939478e-13,-6.348272285829107e-08,1.1868736941246249e-08,,,,
1.6666666666666667,100,object_b,1,1,rigid_box,0.35144195101533565,1.3450615853707476e-07,0.3999907959359274,4.864427691124315e-08,-3.024768701719311e-08,-1.6214327212169697e-08,0.9999999999999982,0.1686473214110504,1.1267555562265957e-07,-6.305256664007608e-11,1.9053212230984634e-08,-2.7831598000876773e-08,-2.800630067982158e-08,,,,
1.6833333333333333,101,object_a,0,1,rigid_box,-0.5793664533384256,-2.1876245672050753e-07,0.3999907970980878,2.85340542050144e-08,-1.3161897393340865e-07,1.1164460286698247e-08,0.9999999999999908,-0.40544965684355294,-1.80879640617982e-07,1.0655433844292128e-09,-1.608229138151014e-13,-6.354136659396862e-08,1.1879076426316857e-08,,,,
1.6833333333333333,101,object_b,1,1,rigid_box,0.35425099795206294,1.3638291898382684e-07,0.39999079593487724,4.880335417531797e-08,-3.048132808979897e-08,-1.6447908204479458e-08,0.9999999999999982,0.16845063312246691,1.1254394312386268e-07,-6.298464527709768e-11,1.9121491071437843e-08,-2.821989893253886e-08,-2.8050399323238157e-08,,,,
1.7,102,object_a,0,1,rigid_box,-0.5861200066078187,-2.217753587469238e-07,0.399990797115856,2.8534052871133333e-08,-1.3214874513854444e-07,1.126349841538436e-08,0.9999999999999908,-0.4050046383171693,-1.8068105398968447e-07,1.0665592783953848e-09,-1.6100609666459008e-13,-6.36000636105366e-08,1.188942556143305e-08,,,,
1.7,102,object_b,1,1,rigid_box,0.35705676830245253,1.3825748692062077e-07,0.3999907959338291,4.896301264469085e-08,-3.071825991099844e-08,-1.66818571302209e-08,0.9999999999999982,0.16825412006415955,1.1241244711517944e-07,-6.283572794030245e-11,1.919255176019418e-08,-2.8620705899199328e-08,-2.809459902421709e-08,,,,
1.7166666666666666,103,object_a,0,1,rigid_box,-0.5928661476550325,-2.247849531162138e-07,0.39999079713364066,2.8534051535730617e-08,-1.3267900572159426e-07,1.1362622829757716e-08,0.9999999999999907,-0.40456015648720756,-1.804827067344776e-07,1.0675130623222229e-09,-1.6118949852364995e-13,-6.365881396465708e-08,1.1899784410066576e-08,,,,
1.7166666666666666,103,object_b,1,1,rigid_box,0.359859264985171,1.4012986428724966e-07,0.3999907959327828,4.9123276114760826e-08,-3.0958589481316656e-08,-1.6916174848045552e-08,0.9999999999999981,0.16805778202856667,1.1228106740316254e-07,-6.273344343998843e-11,1.9266543186367226e-08,-2.903469677947462e-08,-2.8138903570885334e-08,,,,
1.7333333333333334,104,object_a,0,1,rigid_box,-0.5996048854169436,-2.2779124381432984e-07,0.39999079715144187,2.8534050198804537e-08,-1.3320975612719624e-07,1.1461833610346921e-08,0.9999999999999907,-0.404116210443276,-1.8028459844600835e-07,1.0685143846111966e-09,-1.6137310944484764e-13,-6.371761768854319e-08,1.1910152922171537e-08,,,,
1.7333333333333334,104,object_b,1,1,rigid_box,0.36265849091542807,1.4200005302025609e-07,0.3999907959317385,4.928416975813417e-08,-3.120243009168023e-08,-1.715086224933795e-08,0.9999999999999981,0.16786161880844921,1.1214980379129996e-07,-6.259648008266616e-11,1.934362606731347e-08,-2.946260347795354e-08,-2.8183316984524695e-08,,,,
1.75,105,object_a,0,1,rigid_box,-0.6063362288152742,-2.3079423482045988e-07,0.3999907971692596,2.853404886035338e-08,-1.3374099680035917e-07,1.1561130837810436e-08,0.9999999999999906,-0.4036727992770315,-1.8008672871884085e-07,1.0695211626055023e-09,-1.6155692520580362e-13,-6.377647484455662e-08,1.1920531066135379e-08,,,,
1.75,105,object_b,1,1,rigid_box,0.3654544490049824,1.4386805505287965e-07,0.39999079593069614,4.9445720130282715e-08,-3.1449901328295e-08,-1.7385920259837374e-08,0.9999999999999981,0.16766563019688957,1.1201865607999361e-07,-6.248243936135545e-11,1.9424004592483258e-08,-2.990536304242819e-08,-2.8227843480188556e-08,,,,
1.7666666666666666,106,object_a,0,1,rigid_box,-0.6130601867566247,-2.3379393010704256e-07,0.39999079718709385,2.8534047520375394e-08,-1.3427272818647657e-07,1.1660514592803878e-08,0.9999999999999905,-0.4032299220821747,-1.798890971484464e-07,1.0705122621690322e-09,-1.6174094311610668e-13,-6.38353854715499e-08,1.1930918897751604e-08,,,,
1.7666666666666666,106,object_b,1,1,rigid_box,0.36824714216214705,1.4573387231500074e-07,0.3999907959296557,4.960795544526303e-08,-3.170113036702932e-08,-1.7621349841499114e-08,0.9999999999999981,0.16746981598729138,1.1188762406590515e-07,-6.24098203672041e-11,1.9507840380557815e-08,-3.0363705770455605e-08,-2.8272487512400137e-08,,,,
1.7833333333333334,107,object_a,0,1,rigid_box,-0.619776768132509,-2.3679033363978252e-07,0.3999907972049447,2.853404617886885e-08,-1.3480495073136528e-07,1.1759984956079035e-08,0.9999999999999905,-0.4027875779544431,-1.7969170333121161e-07,1.0715369563873978e-09,-1.6192517919675674e-13,-6.38943496106686e-08,1.1941316429506362e-08,,,,
1.7833333333333334,107,object_b,1,1,rigid_box,0.3710365732917945,1.475975067330786e-07,0.3999907959286172,4.977090555591211e-08,-3.1956251851436747e-08,-1.785715199438063e-08,0.9999999999999981,0.16727417597337857,1.1175670754199278e-07,-6.222453108328807e-11,1.959533632991067e-08,-3.0838555817675324e-08,-2.831725375758134e-08,,,,
1.8,108,object_a,0,1,rigid_box,-0.6264859818193879,-2.3978344937766553e-07,0.39999079722281217,2.8534044835832015e-08,-1.353376648811735e-07,1.1859542008554481e-08,0.9999999999999903,-0.4023457659916064,-1.79494546864422e-07,1.0725036397180032e-09,-1.6210962796150333e-13,-6.395336730924884e-08,1.1951723662371044e-08,,,,
1.8,108,object_b,1,1,rigid_box,0.3738227452953623,1.4945896023008501e-07,0.3999907959275807,4.9934602199215025e-08,-3.2215409036731996e-08,-1.8093327758721365e-08,0.999999999999998,0.16707870994919513,1.116259062969244e-07,-6.213828410150946e-11,1.9686809408998512e-08,-3.133138022370763e-08,-2.8362147223108862e-08,,,,
1.8166666666666667,109,object_a,0,1,rigid_box,-0.6331878366787028,-2.4277328127297335e-07,0.39999079724069614,2.853404349126313e-08,-1.3587087108245315e-07,1.1959185831044387e-08,0.9999999999999902,-0.4019044852934599,-1.7929762734627228e-07,1.0735037164755212e-09,-1.6229427733576504e-13,-6.401243862218135e-08,1.1962140611054675e-08,,,,
1.8166666666666667,109,object_b,1,1,rigid_box,0.3766056610708579,1.5131823472542933e-07,0.3999907959265461,5.0099079095357883e-08,-3.24787542300626e-08,-1.832987821740541e-08,0.999999999999998,0.1668834177091041,1.1149522011483461e-07,-6.20548560453793e-11,1.978238727171157e-08,-3.1842734220098974e-08,-2.8407173063920262e-08,,,,
1.8333333333333333,110,object_a,0,1,rigid_box,-0.63988234155691,-2.4575983327129896e-07,0.3999907972585968,2.8534042145160436e-08,-1.3640456978211384e-07,1.205891650459997e-08,0.9999999999999902,-0.4014637349618198,-1.7910094437585368e-07,1.0744884652164055e-09,-1.6247914129570352e-13,-6.407156358087932e-08,1.1972567334489979e-08,,,,
1.8333333333333333,110,object_b,1,1,rigid_box,0.3793853235128646,1.531753321348786e-07,0.3999907959255135,5.026437216506435e-08,-3.2746449793326415e-08,-1.8566804498399024e-08,0.999999999999998,0.16668829904778718,1.1136464877480114e-07,-6.193046075964048e-11,1.9882430261498093e-08,-3.237428364657e-08,-2.8452336907307097e-08,,,,
