time,x,y,z,vx,vy,vz,num_table_contacts
3.620833333333333126e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587792888e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.622916666666666785e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587800900e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.625000000000000000e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587802749e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.627083333333333215e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587803982e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.629166666666666430e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587804598e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.631250000000000089e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587804598e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.633333333333333304e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587803982e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.635416666666666519e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587804598e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.637499999999999734e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587804598e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.639583333333333393e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587803982e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.641666666666666607e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587804598e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.643749999999999822e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587804598e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.645833333333333481e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.613607204587803982e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.647916666666666696e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.601228461856437541e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.649999999999999911e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.598006173556935728e-17,-4.369074546595186348e-14,1.000000000000000000e+00
