time,soft_z_min,soft_z_max,soft_z_span,soft_xy_radius,soft_center_x,soft_center_y,soft_center_z
8.000000000000000444e-01,7.554433385236623000e-01,1.009155181464158835e+00,2.537118429404965347e-01,1.741106023301898509e-01,-2.735344652743137116e-03,1.152454342361183262e-03,8.620357521578907445e-01
8.166666666666666519e-01,7.555653871611965888e-01,1.008602425009995640e+00,2.530370378487990513e-01,1.742578567263062261e-01,-2.745358472886257756e-03,1.148901786481887561e-03,8.616736886744580382e-01
8.333333333333333703e-01,7.556606764800223308e-01,1.008053084334196159e+00,2.523924078541738281e-01,1.744042478654802830e-01,-2.754771841935304069e-03,1.147893799478436885e-03,8.613214908877498965e-01
8.499999999999999778e-01,7.557350735145969001e-01,1.007448297237768964e+00,2.517132237231720637e-01,1.745490039949883498e-01,-2.764341194457334370e-03,1.145970834713955786e-03,8.608916172287682800e-01
8.666666666666666963e-01,7.557931589447740572e-01,1.006854477506869516e+00,2.510613185620954591e-01,1.746914416969154449e-01,-2.775604757887677188e-03,1.145658931600711857e-03,8.605115445510681527e-01
8.833333333333333037e-01,7.558385090797716810e-01,1.006310895703634856e+00,2.504723866238631746e-01,1.748332745345676509e-01,-2.787338565814867931e-03,1.146718537192128800e-03,8.601620779743183176e-01
9.000000000000000222e-01,7.558739161217693514e-01,1.005778804065066812e+00,2.499048879432974601e-01,1.749741503988685720e-01,-2.800190975903845293e-03,1.148656650584691874e-03,8.598191567497135424e-01
9.166666666666666297e-01,7.559015601346888991e-01,1.005250536885628154e+00,2.493489767509392552e-01,1.751137800733781613e-01,-2.813466058878722354e-03,1.149029466447235633e-03,8.594784545587130786e-01
9.333333333333333481e-01,7.559231431896726860e-01,1.004724210258238992e+00,2.488010670685663062e-01,1.752521563667310822e-01,-2.826262610371274315e-03,1.151091350493536024e-03,8.591382931445105120e-01
9.499999999999999556e-01,7.559399941349702612e-01,1.004180266196877058e+00,2.482402720619067971e-01,1.753891666461119547e-01,-2.839108543585499873e-03,1.149603109280120886e-03,8.587628652804218943e-01
9.666666666666666741e-01,7.559531504951664260e-01,1.003576304640970918e+00,2.476231541458044916e-01,1.755247473869582797e-01,-2.852068270358807094e-03,1.142812845405108760e-03,8.583581553401877784e-01
9.833333333333332815e-01,7.559634223064822800e-01,1.003045658342968549e+00,2.470822360364862691e-01,1.756602743313865622e-01,-2.867022466811686848e-03,1.136993538215270516e-03,8.580195207333848328e-01
1.000000000000000000e+00,7.559696322581914707e-01,1.002512780337313947e+00,2.465431480791224761e-01,1.757945594830179203e-01,-2.882202520526519832e-03,1.130661286337183167e-03,8.576566585786864483e-01
1.016666666666666607e+00,7.559670311255171082e-01,1.001845329459294387e+00,2.458782983337772787e-01,1.759239901304923970e-01,-2.897396847504214810e-03,1.121945353892199026e-03,8.572020221561047482e-01
1.033333333333333215e+00,7.559742595667063858e-01,1.001335791168492806e+00,2.453615316017864201e-01,1.760526481478232319e-01,-2.913974447670856713e-03,1.114036675656613230e-03,8.568878662034217220e-01
1.050000000000000044e+00,7.559799031863941865e-01,1.000865676983418995e+00,2.448857737970248083e-01,1.761775719002987017e-01,-2.929676604037689206e-03,1.107040137328524311e-03,8.565965238001430615e-01
1.066666666666666652e+00,7.559843094013976028e-01,1.000404711567935312e+00,2.444204021665377091e-01,1.763018274435348420e-01,-2.943849736464606431e-03,1.099180608571724864e-03,8.563106710545957956e-01
1.083333333333333259e+00,7.559871920558292047e-01,9.999187213344605807e-01,2.439315292786313760e-01,1.764252999797063792e-01,-2.956995808415215435e-03,1.092257366681700318e-03,8.559974996175975237e-01
1.100000000000000089e+00,7.559036840603894358e-01,9.994480276136297192e-01,2.435443435532402834e-01,1.765478144186682918e-01,-2.968498742958845457e-03,1.087374539075013037e-03,8.556997183030333742e-01
1.116666666666666696e+00,7.559248014091947132e-01,9.989786920835718176e-01,2.430538906743771044e-01,1.766700396652502170e-01,-2.979333230603070735e-03,1.083362711131752700e-03,8.553933798773625252e-01
1.133333333333333304e+00,7.559412887870429199e-01,9.984487241763863041e-01,2.425074353893433843e-01,1.767923521829899702e-01,-2.992841280787874713e-03,1.080358660323199561e-03,8.550442357213502431e-01
