time,active_blocks,block_0_x,block_0_y,block_0_z,block_0_vx,block_0_vy,block_0_vz,block_1_x,block_1_y,block_1_z,block_1_vx,block_1_vy,block_1_vz,block_2_x,block_2_y,block_2_z,block_2_vx,block_2_vy,block_2_vz,block_3_x,block_3_y,block_3_z,block_3_vx,block_3_vy,block_3_vz,block_4_x,block_4_y,block_4_z,block_4_vx,block_4_vy,block_4_vz,block_5_x,block_5_y,block_5_z,block_5_vx,block_5_vy,block_5_vz
1.472222222222222265e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.830787024863794077e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.435556429913769527e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.499999999999999944e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.790351076610069869e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.462405740388587283e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.527777777777777901e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.749169556978009021e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.489243383464768034e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.555555555555555580e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.707242793291037675e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.516069204172507012e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.583333333333333259e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.664571117171489867e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.542883047821048237e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.611111111111111216e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.621154864532787121e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.569684760002157953e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.638888888888888895e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.576994375571515894e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.596474186593582756e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.666666666666666852e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.532089994759411766e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.623251173762494393e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.694444444444444531e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.486442070835249263e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.650015567968919683e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.722222222222222210e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.440050956796637305e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.676767215969156011e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.750000000000000167e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.392917009891715852e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.703505964819172824e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.777777777777777846e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.345040591610762615e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.730231661877996929e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
