time,object_a_x,object_a_y,object_a_z,object_a_vx,object_a_vy,object_a_vz,object_b_x,object_b_y,object_b_z,object_b_vx,object_b_vy,object_b_vz,total_translational_ke,total_px,total_py
1.216666666666666785e+00,-2.234578119156227227e-01,-2.718629553542433393e-07,7.749915121553778707e-01,-2.272918679512001272e-01,-2.983918059191614524e-07,6.902583435386411281e-10,9.881945060727819197e-01,4.221533338692776457e-07,1.380180555037953394e-01,9.763955433716535737e-01,4.815824255196406946e-07,-3.460983459436377085e+00,3.902774146039110770e-01,3.812746448669120103e-02,2.039682998453912020e-09
1.219444444444444553e+00,-2.240890909447002532e-01,-2.726917069778671748e-07,7.749915121572955590e-01,-2.272499785376842496e-01,-2.983368447736746495e-07,6.904340224545002513e-10,9.909056762922897610e-01,4.234905500611895797e-07,1.283511510607635853e-01,9.758963250606216278e-01,4.813361987043683194e-07,-3.486451111151434024e+00,3.955553645050298162e-01,3.810128143524571520e-02,2.029855892631380179e-09
1.222222222222222321e+00,-2.247202536283994245e-01,-2.735203059501562685e-07,7.749915121592135803e-01,-2.272080958937866546e-01,-2.982818925146466068e-07,6.905296404124960929e-10,9.936154548188772528e-01,4.248270798357404811e-07,1.186135499570805801e-01,9.753947189561288367e-01,4.810887941703176210e-07,-3.511896280723556085e+00,4.008673686776200729e-01,3.807495450692692518e-02,2.019957323900863182e-09
1.225000000000000089e+00,-2.253512999855216414e-01,-2.743487522957910958e-07,7.749915121611317126e-01,-2.271662200180235569e-01,-2.982269491401317423e-07,6.905426386955015872e-10,9.963238350296796941e-01,4.261629199263697587e-07,1.088053149002793651e-01,9.748907298129846355e-01,4.808402142626781436e-07,-3.537318844767525672e+00,4.062132984569710725e-01,3.804848398715696134e-02,2.009987433148831676e-09
1.227777777777777857e+00,-2.259822300348642010e-01,-2.751770460394468383e-07,7.749915121630500670e-01,-2.271243509089114765e-01,-2.981720146481814570e-07,6.906651084381820738e-10,9.990308103151709362e-01,4.274980670730957264e-07,9.892650893962638692e-02,9.743843624487401600e-01,4.805904613575851451e-07,-3.562718680379900249e+00,4.115930246242977542e-01,3.802187016512237339e-02,1.999946363118780092e-09
1.230555555555555625e+00,-2.266130437952202370e-01,-2.760051872057932775e-07,7.749915121649687544e-01,-2.270824885649675440e-01,-2.981170890368503277e-07,6.907119268900752118e-10,1.001736374079335690e+00,4.288325180226004648e-07,8.897719546477836361e-02,9.738756217425290629e-01,4.803395378615481669e-07,-3.588095665141354029e+00,4.170064174125067691e-01,3.799511333370466509e-02,1.989834258376359329e-09
1.233333333333333393e+00,-2.272437412853788030e-01,-2.768331758194946895e-07,7.749915121668875528e-01,-2.270406329847091675e-01,-2.980621723041924552e-07,6.908386900733587410e-10,1.004440519739837612e+00,4.301662695283129897e-07,7.895743820443271166e-02,9.733645126339390830e-01,4.800874462108940045e-07,-3.613449677118983683e+00,4.224533465119771347e-01,3.796821378941252212e-02,1.979651265276319305e-09
1.236111111111111160e+00,-2.278743225241248449e-01,-2.776610119052099502e-07,7.749915121688066844e-01,-2.269987841666543382e-01,-2.980072644482628930e-07,6.909131305271598578e-10,1.007143240728185507e+00,4.314993183504910437e-07,6.886730122497163042e-02,9.728510401219142567e-01,4.798341888712254532e-07,-3.638780594868579854e+00,4.279336810763549881e-01,3.794117183231596191e-02,1.969397531929868412e-09
1.238888888888888928e+00,-2.285047875302391451e-01,-2.784886954875926948e-07,7.749915121707261489e-01,-2.269569421093213246e-01,-2.979523654671178592e-07,6.910214865596397971e-10,1.009844530489895753e+00,4.328316612563011935e-07,5.870684892909996955e-02,9.723352092636846633e-01,4.795797683368933944e-07,-3.664088297436863595e+00,4.334472897283623283e-01,3.791398776598216280e-02,1.959073208172995808e-09
1.241666666666666696e+00,-2.291351363224984339e-01,-2.793162265912909998e-07,7.749915121726457246e-01,-2.269151068112288672e-01,-2.978974753588123016e-07,6.911103876683366565e-10,1.012544382484652061e+00,4.341632950198976570e-07,4.847614605447693459e-02,9.718170251737240362e-01,4.793241871304826475e-07,-3.689372664363688603e+00,4.389940405656185818e-01,3.788666189741284052e-02,1.948678445535852498e-09
